osmid,x,y,total_CYD
7208366777,-81.8888451,26.4092463,0.0
7226537671,-81.8922522,26.4111514,0.0
7226537681,-81.8919815,26.4109771,0.0
7229628345,-81.8980291,26.4172235,0.0
7229628352,-81.8991762,26.4172102,0.0
7556699107,-81.9067639,26.4316283,0.0
7556699142,-81.8865893,26.4059121,0.0
7556699155,-81.9013716,26.4140078,0.0
7556699159,-81.8969349,26.4175652,0.0
7564891014,-81.9078976,26.4299305,0.0
8270558832,-81.8949312,26.4151688,0.0
8270558834,-81.8945751,26.4149203,0.0
8270558838,-81.8956938,26.4148874,0.0
8277500437,-81.9008689,26.4152996,0.0
8277500439,-81.9015077,26.4152209,0.0
8570985714,-81.9086081,26.430982,0.0
9258320815,-81.8966954,26.4110291,0.0
9258342816,-81.8974592,26.4108625,0.0
9258342819,-81.8970471,26.4107087,0.0
9629857104,-81.8836084,26.4046999,0.0
9629857105,-81.8835881,26.4046106,0.0
10069586511,-81.8970245,26.4134419,0.0
10069586512,-81.8972448,26.4133755,0.0
10069586513,-81.8971015,26.4130068,0.0
10069586514,-81.896884,26.4130744,0.0
10069586515,-81.8968138,26.4128907,0.0
10069586516,-81.8970308,26.4128247,0.0
10069586517,-81.8966103,26.4123582,0.0
10069586518,-81.8968236,26.4122914,0.0
10069586519,-81.8967532,26.4121102,0.0
10069586520,-81.8965421,26.4121798,0.0
10069586521,-81.8964706,26.4119928,0.0
10069586522,-81.896683,26.4119293,0.0
10826905931,-81.9035819,26.4204928,0.0
10826905932,-81.9033558,26.4204213,0.0
10826905933,-81.9032439,26.4202588,0.0
98027430,-81.959739,26.45594,0.0
98027435,-81.9586471,26.4570741,0.0
98029423,-81.949508,26.461042,0.0
98029850,-81.941712,26.459724,0.0
98029868,-81.941694,26.458085,0.0
98037982,-81.9402942,26.4602397,0.0
98037993,-81.940339,26.459605,0.0
98037995,-81.940334,26.458102,0.0
98041592,-81.9288898,26.4414045,0.0
98041609,-81.927594,26.442294,0.0
98041614,-81.9274058,26.4423281,0.0
98041618,-81.9260618,26.4434237,0.0
98048423,-81.948484,26.449852,0.0
98048425,-81.948497,26.4507052,0.0
98048440,-81.948553,26.454381,0.0
98052548,-81.926676,26.4401562,0.0
98055554,-81.9525569,26.4520107,0.0
98055560,-81.952017,26.452311,0.0
98055574,-81.951639,26.453206,0.0
98055589,-81.951651,26.455277,0.0
98059314,-81.9390591,26.4465554,0.0
98059316,-81.938955,26.446783,0.0
98059330,-81.938946,26.447308,0.0
98059337,-81.937981,26.445972,0.0
98082846,-81.9437075,26.448074,0.0
98082848,-81.9435458,26.4483827,0.0
98082850,-81.9433724,26.448882,0.0
98082860,-81.9433715,26.4498836,0.0
98082863,-81.943385,26.450528,0.0
98086066,-81.9475269,26.4503549,0.0
98086072,-81.947505,26.4495477,0.0
98087989,-81.946891,26.464432,0.0
98103826,-81.9467846,26.4500913,0.0
98103830,-81.9467855,26.450861,0.0
98113243,-81.9538424,26.4652131,0.0
98113261,-81.9555593,26.4659889,0.0
98117718,-81.9260258,26.4397874,0.0
98117723,-81.923876,26.441576,0.0
98121991,-81.940339,26.458027,0.0
98121994,-81.940335,26.457461,0.0
98123657,-81.9485354,26.4592575,0.0
98123675,-81.947034,26.460021,0.0
98125525,-81.953566,26.461952,0.0
98125540,-81.952886,26.464743,0.0
98125669,-81.9323217,26.4433229,0.0
98125689,-81.930264,26.445099,0.0
98125741,-81.921497,26.439959,0.0
98128531,-81.917773,26.434632,0.0
98128726,-81.9478574,26.4504722,0.0
98128728,-81.9478635,26.4511389,0.0
98128739,-81.9478653,26.4538144,0.0
98135741,-81.933542,26.444005,0.0
98135754,-81.931665,26.445648,0.0
98135757,-81.931502,26.445788,0.0
98135766,-81.92927,26.447651,0.0
98143912,-81.9508397,26.4518976,0.0
98150818,-81.918504,26.43662,0.0
98150824,-81.919334,26.437243,0.0
98151079,-81.941481,26.4482056,0.0
98152964,-81.938057,26.446493,0.0
98152978,-81.937848,26.447942,0.0
98161355,-81.9427731,26.4486705,0.0
98161357,-81.9427532,26.449827,0.0
98170220,-81.921399,26.438939,0.0
98177750,-81.935588,26.4450445,0.0
98177752,-81.935275,26.446194,0.0
98177756,-81.935052,26.447082,0.0
98177790,-81.929962,26.448315,0.0
98178525,-81.918205,26.436959,0.0
98178533,-81.919013,26.437573,0.0
98178963,-81.9291616,26.4415564,0.0
98178977,-81.926485,26.443995,0.0
98183641,-81.952715,26.4617653,0.0
98183654,-81.9534782,26.4586097,0.0
98183668,-81.9532476,26.4585642,0.0
98183670,-81.952557,26.458429,0.0
98183672,-81.9518041,26.4615689,0.0
98186972,-81.9405957,26.4489914,0.0
98186975,-81.94862,26.460841,0.0
98186982,-81.9486205,26.4641829,0.0
98186987,-81.948541,26.460825,0.0
98186990,-81.9406701,26.4490917,0.0
98203461,-81.9395387,26.4485582,0.0
98203467,-81.9384923,26.448187,0.0
98214611,-81.9538527,26.458695,0.0
98214634,-81.953846,26.462011,0.0
98214651,-81.954097,26.463951,0.0
98214653,-81.9540941,26.4640677,0.0
98214660,-81.9543582,26.4643361,0.0
98214700,-81.953603,26.464407,0.0
98223874,-81.9231208,26.4373857,0.0
98228892,-81.9395,26.458111,0.0
98228894,-81.939499,26.458898,0.0
98238389,-81.95168,26.465456,0.0
98244307,-81.962199,26.458371,0.0
98244343,-81.96114,26.457317,0.0
98254936,-81.9421752,26.4484546,0.0
98254965,-81.94215,26.453273,0.0
98256726,-81.9567758,26.4570124,0.0
98266913,-81.958309,26.455041,0.0
98266970,-81.9573143,26.4544372,0.0
98268180,-81.9449283,26.4494322,0.0
98268198,-81.9448789,26.4536577,0.0
98271969,-81.9553652,26.4534086,0.0
98271979,-81.9560423,26.4536495,0.0
98272051,-81.966037,26.462476,0.0
98272631,-81.9547907,26.4527235,112.0
98272641,-81.9537883,26.4524082,0.0
98272648,-81.9527128,26.452061,0.0
98272651,-81.9521419,26.4518767,0.0
98272654,-81.9506631,26.4513992,0.0
98272657,-81.9499006,26.451153,0.0
98272664,-81.9496338,26.4510669,0.0
98272667,-81.9491218,26.4509016,0.0
98272680,-81.9461605,26.4498697,0.0
98272687,-81.9455134,26.4496399,0.0
98272692,-81.9441787,26.449166,0.0
98272694,-81.9440127,26.4491071,0.0
98272698,-81.9399625,26.4476689,0.0
98272699,-81.9393989,26.4474688,0.0
98272728,-81.937621,26.446085,0.0
98272741,-81.9348395,26.4446642,0.0
98272744,-81.9341549,26.4443164,0.0
98272745,-81.9328224,26.4436027,0.0
98272746,-81.9316135,26.4429294,0.0
98272749,-81.9310314,26.4426202,0.0
98272750,-81.9299579,26.4420016,0.0
98272752,-81.927989,26.440901,0.0
98272754,-81.9273263,26.4405251,0.0
98272759,-81.9253799,26.4394211,0.0
98280095,-81.94966,26.4529842,0.0
98280274,-81.9492659,26.4542551,0.0
98280276,-81.9490024,26.4541689,0.0
98280281,-81.9495214,26.4597937,0.0
98282945,-81.933191,26.44608,0.0
98289577,-81.940882,26.458097,0.0
98289583,-81.9425759,26.458083,0.0
98289591,-81.9426302,26.458043,0.0
98291380,-81.9566623,26.4560071,0.0
98291386,-81.9562481,26.4567825,0.0
98298112,-81.9551362,26.4553211,0.0
98298114,-81.9548672,26.4558181,0.0
98304359,-81.9514863,26.4653742,0.0
