Load Date,Disposal Site,CYD,Proportion,Assigned Trucks
2022-11-06,Domestic Rd DMS,9651,0.09728144183374157,27
2022-11-06,Lee Health Bonita Springs DMS,1305,0.013154313707702078,4
2022-11-06,Lovers Key DMS,5322,0.053645408086122955,15
2022-11-06,Paige Field Airport DMS,11368,0.11458868829820476,32
2022-11-06,Pine Island DMS,17582,0.17722539740139304,49
2022-11-06,SR 82 DMS,1215,0.012247119658895038,3
2022-11-06,Wakehatchee Park DMS,17573,0.17713467799651234,49
2022-11-06,Wheeler Rd DMS ,3158,0.03183243117925146,9
2022-11-06,Wulfert Rd DMS,4030,0.040622133518804115,11
2022-11-07,AandW Bulb Rd DMS,2759,0.029331405547345927,8
2022-11-07,Bay Oaks DMS,262,0.0027853672538617736,1
2022-11-07,Civic Center DMS,23362,0.24836545719358302,69
2022-11-07,Domestic Rd DMS,7145,0.07595972911771898,21
2022-11-07,Lee Health Bonita Springs DMS,4580,0.04869077107895772,13
2022-11-07,Lovers Key DMS,3972,0.04222701806236246,12
2022-11-07,Paige Field Airport DMS,10246,0.10892699573689973,30
2022-11-07,Pine Island DMS,15369,0.1633904936053496,45
2022-11-07,SR 82 DMS,5294,0.056281428404367284,16
2022-11-07,Wakehatchee Park DMS,13614,0.14473278547356558,40
2022-11-07,Wheeler Rd DMS ,3338,0.03548685455492595,10
2022-11-07,Wulfert Rd DMS,4122,0.04382169397106195,12
2022-11-08,AandW Bulb Rd DMS,4971,0.048873289287399715,14
2022-11-08,Bay Oaks DMS,1627,0.01599614598080856,5
2022-11-08,Civic Center DMS,32401,0.3185563158722668,93
2022-11-08,Domestic Rd DMS,7489,0.07362946358345131,21
2022-11-08,Lee Health Bonita Springs DMS,1389,0.013656205757432751,4
2022-11-08,Lovers Key DMS,6487,0.06377811860940695,19
2022-11-08,Paige Field Airport DMS,11162,0.10974123014000314,32
2022-11-08,Pine Island DMS,16474,0.1619671228566934,47
2022-11-08,SR 82 DMS,1940,0.019073462324996068,6
2022-11-08,Wakehatchee Park DMS,10033,0.0986412616013843,29
2022-11-08,Wheeler Rd DMS ,3409,0.033516202611294635,10
2022-11-08,Wulfert Rd DMS,4330,0.042571181374862356,12
2022-11-09,AandW Bulb Rd DMS,6289,0.0711538026384269,21
2022-11-09,Bay Oaks DMS,270,0.0030547824316068156,1
2022-11-09,Civic Center DMS,32422,0.3668227999909488,106
2022-11-09,Domestic Rd DMS,6098,0.06899282691829023,20
2022-11-09,Lee Health Bonita Springs DMS,782,0.008847555042653815,3
2022-11-09,Lovers Key DMS,4538,0.0513429728690064,15
2022-11-09,Paige Field Airport DMS,11494,0.13004321951440273,38
2022-11-09,Pine Island DMS,9207,0.10416808091779241,30
2022-11-09,SR 82 DMS,3076,0.0348018917023058,10
2022-11-09,Wakehatchee Park DMS,8025,0.09079492227275814,26
2022-11-09,Wheeler Rd DMS ,1981,0.022413051840789264,6
2022-11-09,Wulfert Rd DMS,4204,0.047564093861018716,14
2022-11-10,AandW Bulb Rd DMS,2705,0.049055166660621666,10
2022-11-10,Civic Center DMS,4177,0.07574988212252004,15
2022-11-10,Domestic Rd DMS,7898,0.14323020565086503,28
2022-11-10,Paige Field Airport DMS,14632,0.26535127489028326,53
2022-11-10,Pine Island DMS,12526,0.22715897138297486,45
2022-11-10,SR 82 DMS,1048,0.019005476769068948,4
2022-11-10,Wakehatchee Park DMS,7026,0.12741648833919697,25
2022-11-10,Wheeler Rd DMS ,2539,0.04604475717239128,9
2022-11-10,Wulfert Rd DMS,2591,0.04698777701207791,9
2022-11-11,AandW Bulb Rd DMS,4470,0.05160590177561246,14
2022-11-11,Civic Center DMS,9903,0.11432958507469579,32
2022-11-11,Domestic Rd DMS,8414,0.09713916276062712,27
2022-11-11,Lee Health Bonita Springs DMS,1668,0.01925696737398693,5
2022-11-11,Lovers Key DMS,9704,0.11203214112540119,31
2022-11-11,Paige Field Airport DMS,22651,0.26150453716317623,73
2022-11-11,Pine Island DMS,13094,0.15116950287469116,42
2022-11-11,SR 82 DMS,1656,0.019118428040361127,5
2022-11-11,Wakehatchee Park DMS,9336,0.10778360156087649,30
2022-11-11,Wheeler Rd DMS ,2493,0.028781546560761043,8
2022-11-11,Wulfert Rd DMS,3229,0.037278625689810434,10
2022-11-12,AandW Bulb Rd DMS,4397,0.049694846292947556,14
2022-11-12,Civic Center DMS,23105,0.26113245931283907,72
2022-11-12,Domestic Rd DMS,8357,0.0944507233273056,26
2022-11-12,Lee Health Bonita Springs DMS,1523,0.017212929475587703,5
2022-11-12,Lovers Key DMS,7704,0.08707052441229657,24
2022-11-12,Paige Field Airport DMS,13576,0.1534358047016275,42
2022-11-12,Pine Island DMS,11600,0.13110307414104883,36
2022-11-12,SR 82 DMS,1586,0.0179249547920434,5
2022-11-12,Wakehatchee Park DMS,11309,0.1278141952983725,35
2022-11-12,Wheeler Rd DMS ,2418,0.027328209764918624,8
2022-11-12,Wulfert Rd DMS,2905,0.03283227848101266,9
2022-11-13,AandW Bulb Rd DMS,5619,0.06166661179336911,17
2022-11-13,Bay Oaks DMS,835,0.009163840691842536,3
2022-11-13,Civic Center DMS,18128,0.19894862761882812,55
2022-11-13,Domestic Rd DMS,8599,0.09437109713671134,26
2022-11-13,FMB Elementary School DMS,32,0.0003511891043580373,0
2022-11-13,Lee Health Bonita Springs DMS,1597,0.017526531239368297,5
2022-11-13,Lovers Key DMS,6536,0.07173037456512912,20
2022-11-13,Paige Field Airport DMS,18835,0.2067077118932385,57
2022-11-13,Pine Island DMS,11650,0.12785478330534794,35
2022-11-13,SR 82 DMS,2662,0.029214543618784228,8
2022-11-13,Wakehatchee Park DMS,11012,0.12085295053720958,33
2022-11-13,Wheeler Rd DMS ,3105,0.03407631778224081,9
2022-11-13,Wulfert Rd DMS,2509,0.027535420713572362,8
2022-11-14,AandW Bulb Rd DMS,5181,0.06449002962483508,17
2022-11-14,Bay Oaks DMS,433,0.005389728397520476,1
2022-11-14,Civic Center DMS,21216,0.26408424406880926,69
2022-11-14,Domestic Rd DMS,6941,0.08639747068635018,23
2022-11-14,Lee Health Bonita Springs DMS,1434,0.01784958550125719,5
2022-11-14,Lovers Key DMS,4532,0.05641166073340138,15
2022-11-14,Paige Field Airport DMS,13429,0.16715626478129902,44
2022-11-14,Pine Island DMS,10417,0.1296646667828425,34
2022-11-14,SR 82 DMS,2311,0.02876596380293261,8
2022-11-14,Wakehatchee Park DMS,9459,0.11774004829594961,31
2022-11-14,Wheeler Rd DMS ,2767,0.034441982623416065,9
2022-11-14,Wulfert Rd DMS,2218,0.02760835470138664,7
2022-11-15,AandW Bulb Rd DMS,3682,0.04341981132075472,12
2022-11-15,Civic Center DMS,25346,0.29889150943396225,82
2022-11-15,Domestic Rd DMS,6301,0.07430424528301886,20
2022-11-15,Lee Health Bonita Springs DMS,2055,0.024233490566037737,7
2022-11-15,Lovers Key DMS,4067,0.04795990566037736,13
2022-11-15,Paige Field Airport DMS,10908,0.1286320754716981,35
2022-11-15,Pine Island DMS,12918,0.15233490566037736,42
2022-11-15,SR 82 DMS,1872,0.02207547169811321,6
2022-11-15,Wakehatchee Park DMS,12102,0.1427122641509434,39
2022-11-15,Wheeler Rd DMS ,3661,0.04317216981132076,12
2022-11-15,Wulfert Rd DMS,1888,0.022264150943396226,6
2022-11-16,AandW Bulb Rd DMS,4466,0.05163781840045325,14
2022-11-16,Bay Oaks DMS,198,0.0022893614069166464,1
2022-11-16,Civic Center DMS,28590,0.33056991224114607,91
2022-11-16,Domestic Rd DMS,6040,0.06983708534230577,19
2022-11-16,Lee Health Bonita Springs DMS,1438,0.016626776278515845,5
2022-11-16,Lovers Key DMS,4623,0.053453120122099275,15
2022-11-16,Paige Field Airport DMS,10744,0.12422676240359823,34
2022-11-16,Pine Island DMS,12610,0.1458022592990854,40
2022-11-16,SR 82 DMS,1072,0.01239492640512447,3
2022-11-16,Wakehatchee Park DMS,10819,0.125093944754703,34
2022-11-16,Wheeler Rd DMS ,4133,0.04778752876154798,13
2022-11-16,Wulfert Rd DMS,1754,0.02028050458450403,6
2022-11-17,AandW Bulb Rd DMS,4215,0.049159105222644675,13
2022-11-17,Bay Oaks DMS,524,0.006111357327797345,2
2022-11-17,Civic Center DMS,28196,0.3288470061346831,89
2022-11-17,Domestic Rd DMS,4965,0.05790627697044622,16
2022-11-17,Lee Health Bonita Springs DMS,1457,0.016992838982062466,5
2022-11-17,Lovers Key DMS,4407,0.051398381190081874,14
2022-11-17,Paige Field Airport DMS,10638,0.12406988407081711,34
2022-11-17,Pine Island DMS,13800,0.1609479601595484,44
2022-11-17,Wakehatchee Park DMS,9973,0.11631405845443307,32
2022-11-17,Wheeler Rd DMS ,3642,0.0424762660073243,12
2022-11-17,Wulfert Rd DMS,3925,0.04577686548016142,12
2022-11-18,AandW Bulb Rd DMS,3789,0.04628860437842064,13
2022-11-18,Bay Oaks DMS,504,0.006157154026583268,2
2022-11-18,Civic Center DMS,21153,0.25841722048475374,70
2022-11-18,Domestic Rd DMS,4118,0.050307857701329166,14
2022-11-18,Lee Health Bonita Springs DMS,1398,0.017078772478498826,5
2022-11-18,Lovers Key DMS,4571,0.05584196637998436,15
2022-11-18,Paige Field Airport DMS,11478,0.14022185301016418,38
2022-11-18,Pine Island DMS,14003,0.1710687060203284,46
2022-11-18,Wakehatchee Park DMS,14473,0.17681049648162628,48
2022-11-18,Wheeler Rd DMS ,2266,0.027682759968725566,8
2022-11-18,Wulfert Rd DMS,4103,0.050124609069585616,14
2022-11-19,AandW Bulb Rd DMS,3250,0.04036966188855489,11
2022-11-19,Civic Center DMS,15281,0.18981193948277147,50
2022-11-19,Domestic Rd DMS,5136,0.06379648721834398,17
2022-11-19,Lee Health Bonita Springs DMS,1366,0.016967679427620303,4
2022-11-19,Lovers Key DMS,4595,0.05707649119320299,15
2022-11-19,Paige Field Airport DMS,17867,0.2219337689116339,59
2022-11-19,Pine Island DMS,12828,0.15934216083273298,42
2022-11-19,Wakehatchee Park DMS,14890,0.18495515862171763,49
2022-11-19,Wheeler Rd DMS ,1905,0.02366283258390679,6
2022-11-19,Wulfert Rd DMS,3388,0.04208381983951507,11
2022-11-20,AandW Bulb Rd DMS,4033,0.05327116382897222,13
2022-11-20,Civic Center DMS,16476,0.21762848877910893,54
2022-11-20,Domestic Rd DMS,5677,0.07498646096133779,19
2022-11-20,Lee Health Bonita Springs DMS,1140,0.01505805275601992,4
2022-11-20,Lovers Key DMS,2028,0.026787483323867014,7
2022-11-20,Paige Field Airport DMS,13829,0.18266474698508725,45
2022-11-20,Pine Island DMS,12307,0.16256092567397995,40
2022-11-20,Wakehatchee Park DMS,16941,0.2237705892453802,55
2022-11-20,Wheeler Rd DMS ,1642,0.021688879495951496,5
2022-11-20,Wulfert Rd DMS,1634,0.021583208950295217,5
2022-11-21,AandW Bulb Rd DMS,5487,0.0740096305588152,17
2022-11-21,Civic Center DMS,17525,0.23638031265595705,56
2022-11-21,Domestic Rd DMS,5697,0.07684214785740298,18
2022-11-21,Lee Health Bonita Springs DMS,676,0.009118008065930211,2
