osmid,x,y,total_CYD,geometry
5755082604,-81.903762,26.4223314,18.00857220026157,POINT (-81.903762 26.4223314)
5755082605,-81.9036703,26.422192,597.8576179143016,POINT (-81.9036703 26.422192)
5756963343,-81.9041221,26.4215534,9.038010018108801,POINT (-81.9041221 26.4215534)
5756963345,-81.9049435,26.4209502,29.67704782065577,POINT (-81.9049435 26.4209502)
5756963348,-81.9038536,26.4216269,0.0,POINT (-81.9038536 26.4216269)
5756963352,-81.903947,26.4217695,0.6744783595603583,POINT (-81.903947 26.4217695)
5756963367,-81.9046009,26.4205337,7.823948970900157,POINT (-81.9046009 26.4205337)
5756963368,-81.903615,26.4212671,8.0937403147243,POINT (-81.903615 26.4212671)
5756963369,-81.9041509,26.4208685,6.002857400087189,POINT (-81.9041509 26.4208685)
5756963371,-81.9047446,26.4207034,1.0117175393405375,POINT (-81.9047446 26.4207034)
5756963381,-81.903351,26.4211525,67.24549244816772,POINT (-81.903351 26.4211525)
5756963382,-81.903659,26.421631,52.00228152210363,POINT (-81.903659 26.421631)
5756963383,-81.9034872,26.4210753,0.0,POINT (-81.9034872 26.4210753)
5756987937,-81.9035675,26.4209467,0.47213485169225083,POINT (-81.9035675 26.4209467)
5756987938,-81.9034502,26.4210198,2.023435078681075,POINT (-81.9034502 26.4210198)
5758643548,-81.9033863,26.4206308,0.0,POINT (-81.9033863 26.4206308)
5758643550,-81.903259,26.4207327,28.46298677344712,POINT (-81.903259 26.4207327)
5758643551,-81.903084,26.420152,1.4164045550767526,POINT (-81.903084 26.420152)
5758643552,-81.9029356,26.4202392,0.06744783595603583,POINT (-81.9029356 26.4202392)
5758643556,-81.9036759,26.4199437,315.9931114540279,POINT (-81.9036759 26.4199437)
5758643557,-81.9038083,26.4200902,208.14402176032658,POINT (-81.9038083 26.4200902)
5758996101,-81.9027867,26.420011,0.6070305236043225,POINT (-81.9027867 26.420011)
5758996102,-81.9038062,26.4193318,512.4686575939603,POINT (-81.9038062 26.4193318)
5758996105,-81.9036191,26.4191267,19.829663771074536,POINT (-81.9036191 26.4191267)
5758996108,-81.9026949,26.4198704,0.0,POINT (-81.9026949 26.4198704)
5758996109,-81.9029514,26.4199027,0.13489567191207166,POINT (-81.9029514 26.4199027)
5758996110,-81.9028431,26.419757,42.96427150399483,POINT (-81.9028431 26.419757)
5758996111,-81.9033316,26.4196574,0.7419261955163942,POINT (-81.9033316 26.4196574)
5758996112,-81.9031594,26.4194825,57.937691086234786,POINT (-81.9031594 26.4194825)
5758996153,-81.9032393,26.4191823,164.43782406081536,POINT (-81.9032393 26.4191823)
5758996155,-81.9025521,26.4196253,0.0,POINT (-81.9025521 26.4196253)
5758996157,-81.9022183,26.4189187,43.84109337142329,POINT (-81.9022183 26.4189187)
5758996158,-81.9027586,26.419507,0.33723917978017914,POINT (-81.9027586 26.419507)
5759422371,-81.9024606,26.4172416,74.12517171568338,POINT (-81.9024606 26.4172416)
5759422376,-81.9023775,26.4185019,60.09602183682793,POINT (-81.9023775 26.4185019)
5759422377,-81.9020613,26.4185068,81.27464232702319,POINT (-81.9020613 26.4185068)
5759422378,-81.9025597,26.4184991,3.7770788135380067,POINT (-81.9025597 26.4184991)
