fid,Load_Date,fldDebrisC,Pile_Latit,Pile_Longi
309,01/07/2023,C and D,26.4327926,-81.915945
310,11/14/2022,C and D,26.4347781195,-81.9188101777
311,12/02/2022,C and D,26.4283418,-81.9112671
312,11/04/2022,C and D,26.4480183,-81.9409767
313,03/02/2023,C and D,26.4591629,-81.9403553
314,01/25/2023,C and D,26.4597092804,-81.9465761162
315,01/13/2023,C and D,26.4488653,-81.9433775
316,11/29/2022,C and D,26.4173101675,-81.9017499715
317,11/03/2022,HHW to DMS,26.4597646,-81.9476326
318,11/05/2022,C and D,26.448868,-81.9437534
319,12/02/2022,C and D,26.4255322516,-81.9076422137
320,12/18/2022,C and D,26.4604914841,-81.9463798958
321,11/14/2022,C and D,26.4255424834,-81.908040349
322,11/19/2022,Clean Sand Soil,26.4529252,-81.9540914
323,10/23/2022,C and D,26.4180437,-81.9018744
324,11/16/2022,C and D,26.4326753,-81.9157979
325,11/04/2022,C and D,26.4195427113,-81.9025484473
326,02/27/2023,Concrete to FDS,26.4485433,-81.9403988
327,11/19/2022,C and D,26.4661754448,-81.9556333723
328,11/05/2022,C and D,26.4175198005,-81.9016837027
329,12/01/2022,C and D,26.4663482,-81.9556787
330,10/14/2022,C and D,26.4509042414,-81.9488294796
331,10/14/2022,Dirty Sand Soil,26.4442579827,-81.9339774861
332,10/16/2022,C and D,26.4309838656,-81.9139405245
333,01/21/2023,C and D,26.4195569509,-81.9024459858
334,11/07/2022,C and D,26.4046781184,-81.8915711717
335,02/03/2023,C and D,26.4193345,-81.9021719
336,10/17/2022,C and D,26.404487412,-81.8903650505
337,12/04/2022,C and D,26.4279953,-81.9109853
338,11/08/2022,C and D,26.40447,-81.8906145
339,12/15/2022,Dirty Sand Soil,26.4514488,-81.9508598
340,12/11/2022,C and D,26.4224539,-81.9044941
341,11/11/2022,C and D,26.440963503,-81.9281145931
342,01/26/2023,Compact CD,26.4483748,-81.9407004
343,11/29/2022,C and D,26.4049158,-81.8853184
344,11/03/2022,C and D,26.4053791991,-81.8938924339
345,01/13/2023,C and D,26.4611003548,-81.9463439752
346,10/17/2022,C and D,26.4319294459,-81.915207468
347,12/16/2022,C and D,26.4636347879,-81.9485846473
348,12/12/2022,C and D,26.4495466,-81.9454292
349,11/03/2022,C and D,26.4304052,-81.9131134
350,11/02/2022,C and D,26.4449765487,-81.9354229421
351,10/28/2022,C and D,26.4219571799,-81.9041730476
352,11/01/2022,C and D,26.4145684608,-81.900699679
353,12/16/2022,C and D,26.4183354238,-81.9020151068
354,11/06/2022,C and D,26.4284817,-81.91145
355,10/29/2022,C and D,26.4610896193,-81.949321325
356,10/29/2022,C and D,26.41186495,-81.8994330661
357,11/14/2022,C and D,26.433027,-81.916432
358,12/18/2022,C and D,26.4383351896,-81.9236679935
359,10/23/2022,C and D,26.4253672539,-81.9069587533
360,10/21/2022,C and D,26.4287568262,-81.9115532172
361,12/19/2022,C and D,26.4584317029,-81.9394536518
362,10/23/2022,C and D,26.4326494584,-81.9159070922
363,10/28/2022,Clean Sand Soil,26.4526888,-81.9552836
364,10/21/2022,Dirty Sand Soil,26.4375673,-81.922336
365,11/08/2022,C and D,26.4525620453,-81.9546487649
366,10/20/2022,C and D,26.4156697,-81.9010676
367,11/02/2022,C and D,26.4285866,-81.9114454
368,11/13/2022,C and D,26.4175739,-81.901695
369,10/20/2022,C and D,26.4306461317,-81.9133972479
370,10/16/2022,C and D,26.4307382705,-81.9135540385
371,11/09/2022,C and D,26.4252683,-81.9080645
372,12/04/2022,C and D,26.4048134,-81.8924907
373,10/27/2022,C and D,26.4132812619,-81.9001166896
374,12/19/2022,C and D,26.4583191386,-81.9394933395
375,10/09/2022,C and D,26.4653188,-81.955269
376,10/28/2022,C and D,26.4207545402,-81.9033138563
377,01/05/2023,C and D,26.4303134,-81.9130574
378,11/11/2022,C and D,26.430636,-81.9135527
379,02/05/2023,C and D,26.4432209,-81.9321055
380,10/28/2022,C and D,26.4255475486,-81.9079614804
381,10/28/2022,C and D,26.4254841395,-81.9077202492
382,02/09/2023,C and D,26.4130403,-81.8999848
383,12/06/2022,C and D,26.4223804046,-81.9044326153
384,10/18/2022,Dirty Sand Soil,26.4398257,-81.9259699
385,01/10/2023,Vegetation,26.4305089,-81.9133995
386,12/11/2022,C and D,26.4238845,-81.9054198
387,10/17/2022,C and D,26.4308666173,-81.9137286938
388,10/30/2022,C and D,26.4596898901,-81.9463407901
389,02/13/2023,C and D,26.4364727,-81.921119
390,11/09/2022,C and D,26.425518,-81.9080227
391,11/06/2022,C and D,26.406787125,-81.8958235917
392,11/05/2022,C and D,26.4478803,-81.9408798
393,11/06/2022,C and D,26.4046055025,-81.8918518635
394,11/08/2022,C and D,26.4622423891,-81.9477973972
395,12/17/2022,C and D,26.4610336349,-81.9537673239
396,10/21/2022,Clean Sand Soil,26.4525481,-81.9545904
397,01/19/2023,C and D,26.4660254893,-81.9552294097
398,01/22/2023,C and D,26.4596365813,-81.946475391
399,11/30/2022,C and D,26.4589994727,-81.9483957813
400,11/06/2022,C and D,26.4256995544,-81.9082242531
401,10/13/2022,Dirty Sand Soil,26.4489482,-81.9433709
402,11/06/2022,C and D,26.4255871736,-81.9082033251
403,11/11/2022,C and D,26.4256266069,-81.9082120934
404,11/15/2022,C and D,26.4328855,-81.9163026
405,11/13/2022,C and D,26.4594072523,-81.9417113812
406,12/18/2022,C and D,26.4604017966,-81.9476794067
407,12/18/2022,C and D,26.4611235906,-81.9463826503
408,12/07/2022,C and D,26.4338808,-81.9173664
409,10/23/2022,C and D,26.4157178,-81.9010337
410,11/13/2022,C and D,26.4045158,-81.8884336
411,12/02/2022,C and D,26.4046018565,-81.8861442221
412,10/14/2022,C and D,26.408872,-81.8976809
413,11/11/2022,C and D,26.4413147886,-81.9287902583
414,10/15/2022,Dirty Sand Soil,26.4492600587,-81.9442548054
415,12/03/2022,C and D,26.4583614841,-81.9403587934
416,01/17/2023,HHW to DMS,26.4582194326,-81.9425756684
417,01/17/2023,HHW to DMS,26.4599391847,-81.9468848463
418,12/08/2022,Dirty Sand Soil,26.4048697,-81.8924286
419,12/03/2022,C and D,26.4048415,-81.8861647
420,01/14/2023,C and D,26.4353162,-81.9194343
421,11/15/2022,C and D,26.4255819066,-81.9078614347
