Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
330012-22334-44155,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45807393,-81.94165468,11/30/2022,Wakehatchee Park DMS,54,
330206-22323-35203,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4662135,-81.9558286,11/19/2022,Wakehatchee Park DMS,57,
330206-22323-40418,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4601019,-81.9535932,11/19/2022,Wakehatchee Park DMS,57,
330206-22323-61943,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4605563,-81.9538498,11/19/2022,AandW Bulb Rd DMS,53,
330012-22333-27806,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.46199061,-81.95126966,11/29/2022,Wakehatchee Park DMS,54,
330012-22320-56610,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4662429,-81.9556854,11/16/2022,Wakehatchee Park DMS,54,
330012-22325-58072,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.4585863,-81.941713,11/21/2022,Wakehatchee Park DMS,58,
330012-22326-42906,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,C and D,26.4659548,-81.9555077,11/22/2022,Wakehatchee Park DMS,54,
330012-22333-33198,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.4607603,-81.94808129,11/29/2022,Wakehatchee Park DMS,42,
330012-22320-52241,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4664305,-81.9556834,11/16/2022,Wakehatchee Park DMS,58,
330012-22324-48043,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.4597705,-81.9425188,11/20/2022,Wakehatchee Park DMS,54,
330012-22325-44161,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.4585464,-81.9417874,11/21/2022,Wakehatchee Park DMS,58,
330012-22334-57185,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46120831,-81.95224743,11/30/2022,Wakehatchee Park DMS,54,
330013-22333-61280,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.46280095,-81.95407917,11/29/2022,Wakehatchee Park DMS,48,
330013-22334-41685,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46357792,-81.95416207,11/30/2022,Wakehatchee Park DMS,61,
330010-22334-27288,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46316821,-81.95418997,11/30/2022,Wakehatchee Park DMS,56,
330013-22334-56042,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46435598,-81.95386722,11/30/2022,Wakehatchee Park DMS,61,
330013-22334-36793,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46354932,-81.95421258,11/30/2022,Wakehatchee Park DMS,61,
330007-22334-48401,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.4647137,-81.9505501,11/30/2022,Wakehatchee Park DMS,53,
330007-22334-52840,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.464771,-81.950751,11/30/2022,Wakehatchee Park DMS,45,
330007-22334-57379,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.4646452,-81.9506941,11/30/2022,Wakehatchee Park DMS,53,
330009-22322-24251,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,C and D,26.4621538,-81.9512252,11/18/2022,Wakehatchee Park DMS,63,
330011-22334-48576,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.4646716,-81.9503615,11/30/2022,Wakehatchee Park DMS,49,
330012-22321-34178,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,C and D,26.4598534,-81.9417371,11/17/2022,Wakehatchee Park DMS,39,
330012-22322-27201,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,Vegetation,26.461604,-81.9515378,11/18/2022,Wakehatchee Park DMS,62,
330206-22323-50167,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4665616,-81.9541959,11/19/2022,Wakehatchee Park DMS,61,
330206-22323-55628,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4666141,-81.9543368,11/19/2022,Wakehatchee Park DMS,57,
330007-22334-44639,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.4646593,-81.9506245,11/30/2022,Wakehatchee Park DMS,53,
330009-22320-60852,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4664191,-81.9557374,11/16/2022,Wakehatchee Park DMS,55,
330009-22324-60762,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.4597149,-81.9425848,11/20/2022,Wakehatchee Park DMS,63,
330009-22325-44332,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.4585102,-81.941733,11/21/2022,Wakehatchee Park DMS,59,
330009-22332-49301,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4642496,-81.9469264,11/28/2022,Wakehatchee Park DMS,59,
330009-22334-45263,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45985908,-81.9414958,11/30/2022,Wakehatchee Park DMS,59,
330009-22334-54238,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46120806,-81.95223503,11/30/2022,Wakehatchee Park DMS,59,
330206-22323-29504,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.46616404,-81.95558385,11/19/2022,Wakehatchee Park DMS,57,
330206-22324-49776,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.46690175,-81.95464847,11/20/2022,Wakehatchee Park DMS,53,
330206-22324-54885,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.46701346,-81.95461936,11/20/2022,Wakehatchee Park DMS,61,
330009-22323-59135,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4583684,-81.9417124,11/19/2022,Wakehatchee Park DMS,63,
330010-22334-51185,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46326485,-81.95415291,11/30/2022,Wakehatchee Park DMS,56,
330207-22334-32177,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45940573,-81.94594495,11/30/2022,Wakehatchee Park DMS,65,
