Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
1024912-22320-51376,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,Vegetation,26.5550575,-81.8651984,11/16/2022,Paige Field Airport DMS,41,
1024912-22321-41543,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.5546534,-81.8671083,11/17/2022,Paige Field Airport DMS,37,
1024912-22321-47553,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.554147,-81.866904,11/17/2022,Paige Field Airport DMS,48,
1024912-22323-25846,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.5551177,-81.868739,11/19/2022,Paige Field Airport DMS,37,
1024912-22324-54935,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5530401,-81.8693909,11/20/2022,Paige Field Airport DMS,41,
1024912-22325-40906,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.5629974,-81.8577764,11/21/2022,Paige Field Airport DMS,44,
1024911-22324-34247,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5527806,-81.8694165,11/20/2022,Paige Field Airport DMS,36,
1024911-22324-57681,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5530778,-81.8694974,11/20/2022,Paige Field Airport DMS,47,
1024911-22332-38796,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,Vegetation,26.5521487,-81.8632727,11/28/2022,Paige Field Airport DMS,43,
1024911-22334-27212,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.5559671,-81.8586945,11/30/2022,Paige Field Airport DMS,43,
1024912-22320-37660,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,Vegetation,26.5544587,-81.8659443,11/16/2022,Paige Field Airport DMS,34,
1024912-22324-44213,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5529078,-81.8693069,11/20/2022,Paige Field Airport DMS,41,
1024910-22322-60817,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,Vegetation,26.5420003,-81.8628483,11/18/2022,Paige Field Airport DMS,74,
1024910-22323-51409,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.55501,-81.8447511,11/19/2022,Paige Field Airport DMS,78,
1024910-22323-54854,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.5461781,-81.8631318,11/19/2022,Paige Field Airport DMS,78,
1024910-22334-30602,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.689115,-81.8702942,11/30/2022,Paige Field Airport DMS,78,
1024910-22334-58564,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,Vegetation,26.5455183,-81.8633602,11/30/2022,Paige Field Airport DMS,70,
1024911-22320-58819,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,Vegetation,26.5553481,-81.8650625,11/16/2022,Paige Field Airport DMS,50,
1024911-22323-52504,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.5551343,-81.8695469,11/19/2022,Paige Field Airport DMS,50,
1024911-22325-29909,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,Vegetation,26.5561293,-81.8704195,11/21/2022,Paige Field Airport DMS,43,
1024911-22325-47694,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.5614876,-81.856935,11/21/2022,Paige Field Airport DMS,43,
1024912-22324-25434,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5558618,-81.8704477,11/20/2022,Paige Field Airport DMS,44,
1024912-22324-30972,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5549597,-81.8703078,11/20/2022,Paige Field Airport DMS,37,
1024912-22326-49510,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,C and D,26.5550073,-81.8577797,11/22/2022,Paige Field Airport DMS,48,
1024911-22325-40381,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.5627508,-81.8569423,11/21/2022,Paige Field Airport DMS,43,
1024911-22326-37312,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,C and D,26.5568551,-81.857283,11/22/2022,Paige Field Airport DMS,50,
1024911-22332-43620,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,Vegetation,26.5521167,-81.8632725,11/28/2022,Paige Field Airport DMS,43,
1024912-22322-33785,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,Vegetation,26.5542221,-81.8677106,11/18/2022,Paige Field Airport DMS,44,
1024912-22323-34215,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.555504,-81.8685754,11/19/2022,Paige Field Airport DMS,37,
